index,Song-Name,Singer/Artists,Genre,Movie,User-Rating
128,Nazar Na Lag Jaaye,"Ash King, Jigar, Sachin Sanghvi",BollywoodRomantic,Stree,9.6/10
129,Nachle Na,"Guru Randhawa, Neeti Mohan",BollywoodDance,Dil Juunglee,9.5/10
130,Hatt Ja Tau,Sunidhi Chauhan,BollywoodDance,Veerey Ki Wedding,8.7/10
131,Chittiyaan Kalaiyaan,"Anjjan, Kanika Kapoor, Meet Bros",BollywoodDance,Roy,8.4/10
132,La La La (Baazaar),"Bilal Saeed, Neha Kakkar",BollywoodDanceRomantic,Baazaar,9.5/10
133,Tujhse Kahan Judaa Hoon Main,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",BollywoodSad,Genius,9.3/10
134,Hua Hain Aaj Pehli Baar,"Armaan Malik, Palak Muchhal",BollywoodRomantic,Sanam Re,8.3/10
135,Jay-Jaykara,Kailash Kher,BollywoodSad,Baahubali 2 - The Conclusion,9.2/10
136,Tu Hi Hai,Rahul Mishra,Bollywood,Half Girlfriend,9.3/10
137,Hawa Hawa,"Mika Singh, Prakriti Kakkar",BollywoodDance,Mubarakan,8.9/10
138,Bhangra Ta Sajda,"Neha Kakkar, Romy, Shashwat Sachdev, Surya Ragunaathan",BollywoodDance,Veere Di Wedding,8.7/10
139,Deewani Mastani,"Ganesh Chandanshive, Shreya Ghoshal",BollywoodDance,Bajirao Mastani,9.1/10
140,O Meri Laila,"Atif Aslam, Jyotica Tangri",BollywoodRomantic,Laila Majnu,9.6/10
141,Lo Safar,Jubin Nautiyal,BollywoodRomantic,Baaghi 2,9.4/10
142,Chalte Chalte,Atif Aslam,BollywoodRomantic,Mitron,9.6/10
143,Party Chale On,"Iulia Vantur, Mika Singh",BollywoodDance,Race 3,8.6/10
144,Sweety Tera Drama,"Dev Negi, Pawni Pandey, Shraddha Pandit",BollywoodDance,Bareilly Ki Barfi,9.1/10
145,Ek Dil Ek Jaan,Shivam Pathak,BollywoodRomantic,Padmaavat,9.2/10
146,Ae Watan,Arijit Singh,BollywoodPatriotic,Raazi,9.6/10
147,Sunn Le Zara,Arnab Dutta,BollywoodSad,1921,9.6/10
148,Naam Hai Mera,Neeti Mohan,BollywoodRomanticSad,Hate Story 4,8.8/10
149,Jiyo Re Baahubali,"Daler Mehndi, Ramya Behara, Sanjeev Chimmalgi",BollywoodDance,Baahubali 2,8.7/10
150,Soniye Dil Nayi,"Ankit Tiwari, Shruti Pathak",BollywoodRomanticSad,Baaghi 2,9.4/10
151,Mundiyan,"Navraj Hans, Palak Muchhal",BollywoodDance,Baaghi 2,9.0/10
152,Chitthi Aai Hai,Pankaj Udhas,BollywoodSad,Naam,8.1/10
153,Hawayein,Arijit Singh,BollywoodRomantic,Jab Harry Met Sejal,9.6/10
154,Channa Mereya,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,9.3/10
155,Lag Ja Gale,Jonita Gandhi,BollywoodRomantic,Saheb Biwi Aur Gangster 3,9.4/10
156,Sleepy Sleepy Akiyaan,"Asees Kaur, Yasser Desai",BollywoodDance,Bhaiaji Superhit,9.2/10
157,Subah Subah,"Amaal Mallik, Arijit Singh, Prakriti Kakkar",BollywoodDance,Sonu Ke Titu Ki Sweety,9.5/10
158,Naina Da Kya Kasoor,Amit Trivedi,BollywoodRomantic,Andha Dhun,9.6/10
159,Soorma Anthem,Shankar Mahadevan,BollywoodMotivational,Soorma,9.9/10
160,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",BollywoodSad,Tamasha,9.4/10
161,Tum Se,Jubin Nautiyal,BollywoodRomanticSad,Jalebi,9.7/10
162,Kem Cho,"Ikka, Jyotica Tangri",BollywoodDance,Baazaar,9.4/10
163,Aaj Se Teri,Arijit Singh,BollywoodRomantic,Padman,9.4/10
164,Maana Ke Hum Yaar Nahin,Parineeti Chopra,BollywoodRomantic,Meri Pyaari Bindu,9.5/10
165,Nain Na Jodeen,"Ayushmann Khurrana, Neha Kakkar, Rochak Kohli",BollywoodRomanticSad,Badhaai Ho,9.3/10
166,Wajah Tum Ho,"Altamash Faridi, Mithoon, Tulsi Kumar",BollywoodRomanticSadSensual,Wajah Tum Ho,8.1/10
167,Pyaar De,Ankit Tiwari,BollywoodRomantic,Beiimaan Love,8.5/10
168,Ik Vaari Aa,Arijit Singh,BollywoodRomantic,Raabta,9.4/10
169,Radha,"Shekhar Ravjiani, Shreya Ghoshal, Udit Narayan, Vishal Dadlani",BollywoodDance,Student of the Year,8.6/10
170,Mehbooba,"Mohammed Rafi, Neha Kakkar, Yasser Desai",BollywoodDance,Fukrey Returns,9.4/10
171,Hamari Adhuri Kahani,Arijit Singh,BollywoodSad,Hamari Adhuri Kahani,9.3/10
172,Tere Sang Yaara,Atif Aslam,BollywoodRomantic,Rustom,9.1/10
173,Radha,"Shahid Mallya, Sunidhi Chauhan",BollywoodRomantic,Jab Harry Met Sejal,9.2/10
174,Kamli,Sunidhi Chauhan,BollywoodDance,Dhoom 3,9.0/10
